Dealer PPM,Created On,Brand Affiliation,Build Date,Comment,Created By,Created By Delegate,Customer Name,Date failure,Date of Repair,Delivery Date,Event Type,Hours at failure,Modified By,Modified By Delegate,Modified On,Owner,Primary Affected Unit,Prime Product Application Category Code,Prime Product Application Category Name,Prime Product Application Code,Prime Product Application Name,Prime Product Family,Prime Product Family Code,Prime Product General Arrangement Number,Prime Product Model,Prime Product Source Facility,Product SNP,Record Created On,Serial Number,Service Meter Unit,SNP,Source Plant Code,Status,Status Reason,Work Order Number
CRM-1327483-H3G8,3/31/2020 20:02,Caterpillar,12/20/2019,,"Jones, Neville C",,C P DYNES PLANT HIRE LTD,3/12/2020,,2/25/2020,Dealer PPM,45,"Jones, Neville C",,3/31/2020 20:06,"Jones, Neville C",Yes,,,296,,Medium Track Type Tractors,MT,5107536,D5 LGP,Cat S.A.R.L. Grenoble Inventor,RG9,,RG900324,,RG9,37,Active,Active,3N37097
CRM-1297011-P6B6,4/2/2020 3:47,Caterpillar,9/20/2011,"REMAN engine WHR00159
Engine changed out.  Coolant in engine oil.  Coolant seen passing #3 & 9 lower liner seals when rad pressurized, pan off.  Lower liner seals on 3 & 9 heavily eroded/worn.  Remaining liners seals were serviceable.  The lower to upper bore runout/alignment also does not meet current SEBF9008 specifications after measuring at OEM.  Refer to attached reports.","Jones, Peter",,IMPERIAL OIL RESOURCE VENTURES LIMITED,,10/3/2019,7/9/2012,Dealer PPM,2702,"Jones, Peter",,4/2/2020 3:59,"Jones, Peter",Yes,107,MINING,590,Tar Sands/Oil Shale - Surface,Large Track Type Tractors,LT,3743555,D11T,East Peoria Plt (TTT),JEL,,JEL00159,,JEL,16,Active,Active,1868758
CRM-1297011-P6B6,4/2/2020 3:57,Caterpillar,9/25/2015,"REMAN engine WHR00144
Cylinder 1 & 5 leaking coolant past the lower liner seals with radiator pressurized, pan off.  Cavitation of #1 & 5 liners on thrust sides & in the lower liner bores.  Lower liner seals heavily eroded/worn.  Replaced liner packs.  Refer to attached report.","Jones, Peter",,IMPERIAL OIL RESOURCE VENTURES LIMITED,,,1/11/2016,Dealer PPM,6676,"Jones, Peter",,4/2/2020 3:57,"Jones, Peter",No,107,MINING,590,Tar Sands/Oil Shale - Surface,Large Track Type Tractors,LT,3743555,D11T,East Peoria Plt (TTT),JEL,,JEL00407,,JEL,16,Active,Active,
CRM-1297011-P6B6,4/2/2020 4:05,Caterpillar,4/25/2014,"REMAN Engine WHR00151
#3, 5 & 9 lower liner seals leaking coolant into oil pan.  Lower liner seals on these three liners heavily eroded/worn.  Remaining liners seals serviceable.  Reference attached pictures.  No FA report.","Jones, Peter",,2122256 ALBERTA LIMITED O/A HEAVY,,,6/26/2014,Dealer PPM,,"Jones, Peter",,4/3/2020 2:54,"Jones, Peter",No,107,MINING,590,Tar Sands/Oil Shale - Surface,Large Track Type Tractors,LT,3743555,D11T,East Peoria Plt (TTT),JEL,,JEL00351,,JEL,16,Active,Active,
CRM-1297011-P6B6,4/2/2020 4:11,Caterpillar,1/7/2015,"REMAN Engine WHR00149
Coolant seen leaking past #7 lower liner seals into the oil pan.  Engine changed out.  refer to attached report.","Jones, Peter",,IMPERIAL OIL RESOURCE VENTURES LIMITED,7/4/2019,,4/26/2015,Dealer PPM,3016,"Jones, Peter",,4/2/2020 4:11,"Jones, Peter",No,107,MINING,590,Tar Sands/Oil Shale - Surface,Large Track Type Tractors,LT,3743555,D11T,East Peoria Plt (TTT),JEL,,JEL00393,,JEL,16,Active,Active,1782317
CRM-1329279-C0R4,4/2/2020 22:19,Caterpillar,2/6/2010,Dented,"Mali, Alexander Maria Yosef Sega",,PT FREEPORT INDONESIA,6/14/2019,6/14/2019,2/6/2010,Dealer PPM,47644,"Mali, Alexander Maria Yosef Sega",,4/2/2020 22:40,"Mali, Alexander Maria Yosef Sega",No,107,MINING,540,Copper - Surface,Underground Loaders,UL,1533368,R1600,Cat Underground Mining Pty Ltd,9EW,,9EW77008,,9EW,HO,Active,Active,
CRM-1329279-C0R4,4/2/2020 22:21,Caterpillar,2/7/2015,Dented,"Mali, Alexander Maria Yosef Sega",,PT FREEPORT INDONESIA,5/22/2019,5/22/2019,4/12/2015,Dealer PPM,24722,"Mali, Alexander Maria Yosef Sega",,4/2/2020 22:39,"Mali, Alexander Maria Yosef Sega",Yes,107,MINING,531,Gold/Silver - Underground,Underground Loaders,UL,2323379,R1600G,Cat Underground Mining Pty Ltd,9PP,,9PP77002,,9PP,HO,Active,Active,
CRM-1329279-C0R4,4/2/2020 22:26,Caterpillar,2/7/2015,Dented,"Mali, Alexander Maria Yosef Sega",,PT FREEPORT INDONESIA,7/16/2019,7/16/2019,4/12/2015,Dealer PPM,24987,"Mali, Alexander Maria Yosef Sega",,4/2/2020 22:38,"Mali, Alexander Maria Yosef Sega",No,107,MINING,531,Gold/Silver - Underground,Underground Loaders,UL,2323379,R1600G,Cat Underground Mining Pty Ltd,9PP,,9PP77002,,9PP,HO,Active,Active,
CRM-1329279-C0R4,4/2/2020 22:28,Caterpillar,4/23/2015,Dented,"Mali, Alexander Maria Yosef Sega",,PT FREEPORT INDONESIA,7/25/2019,7/25/2019,6/12/2015,Dealer PPM,3877,"Mali, Alexander Maria Yosef Sega",,4/2/2020 22:38,"Mali, Alexander Maria Yosef Sega",No,107,MINING,531,Gold/Silver - Underground,Underground Loaders,UL,2323379,R1600G,Cat Underground Mining Pty Ltd,9PP,,9PP77003,,9PP,HO,Active,Active,
CRM-1329279-C0R4,4/2/2020 22:30,Caterpillar,3/28/2016,Dented,"Mali, Alexander Maria Yosef Sega",,PT FREEPORT INDONESIA,5/28/2019,5/28/2019,8/9/2016,Dealer PPM,8561,"Mali, Alexander Maria Yosef Sega",,4/2/2020 22:37,"Mali, Alexander Maria Yosef Sega",No,107,MINING,531,Gold/Silver - Underground,Underground Loaders,UL,3187521,R1600G,Cat Brasil Ltda.- Piracicaba,9YZ,,9YZ77006,,9YZ,28,Active,Active,
