Warranty Claim,Transaction Type,Transaction Description,Posting Date,Registration Number,Registration Date,Currency,Settlement Number,Settlement Date,Status,Serial Number,Customer Name,Sales Office,Area,Region,Service Order,Job Control,Claim Class,Invoiced Parts,Invoiced Labor,Invoiced Travel,Invoiced Vehicle,Invoiced Misc,Invoiced Total,Expected Settle Parts,Expected Settle Labor,Expected Settle Travel,Expected Settle Vehicle,Expected Settle Misc,Claimed Parts,Claimed Labor,Claimed Travel,Claimed Vehicle,Claimed Misc,Claimed Total,Settled Total
0073094454,YW01,J21Z PS46527-Reworking the cab door,5/8/2020,L8U2759,5/8/2020,USD,,,Registered,KDP00736,PT. SAPTAINDRA SEJATI,0H45,SOUTHERN KALIMANTAN,BANJARMASIN,8600199625,2X,G11,145.94,291.37,42.68,0.00,"1,284.87","1,764.86",145.94,109.95,0.00,0.00,"1,140.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094455,YW01,J21Z PS53803 transmission after failure,5/8/2020,,,USD,,,Created,3F600705,PT. JHONLIN BARATAMA,0H45,SOUTHERN KALIMANTAN,BANJARMASIN,8600192523,2X,G11,"7,951.23","5,601.95",42.68,0.00,366.39,"13,962.25","7,951.23","1,869.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094456,YW01,PS53803 Reworking The Transmission After,5/8/2020,L8U2829,5/8/2020,USD,,,Ready to submit,LFK00839,PT. TIRAN INDONESIA,0B51,EAST INDONESIA,MAKASAR,,2X,G11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0075000922,YW03,"J361_T701 Eng High Top up_HT617740,,",5/1/2020,,,IDR,,,In Process,7EK00369,PT. KALTIM PRIMA COAL,0G38,NORTHERN KALIMANTAN,SANGATTA,8600191987,2W,G53,"5,391,341.00","15,450,000.00",0.00,0.00,"720,000.00","21,561,341.00","5,391,341.00","15,450,000.00",0.00,0.00,"720,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094140,YW01,2W - RHT782 Repair Waranty Water Pump,5/1/2020,L8U0634,5/1/2020,USD,C86SC 156182,5/1/2020,Closed,KDP01130,INTERNAL TRAKINDO TU,0R59,MINING BHJ,BATU HIJAU,8600204194,2W,G07,132.83,104.45,0.00,0.00,0.00,237.28,132.83,0.00,0.00,0.00,0.00,107.29,0.00,0.00,0.00,0.00,132.83,132.83
0073094141,YW01,EXT_WRT_RD4555 REPAIR DIFFERENTIAL,5/1/2020,NC73094141,5/1/2020,USD,NC-LOIGKINDRAYANA,5/1/2020,Closed,3F601075,PT. THIESS CONTRACTORS INDONESIA,0G38,NORTHERN KALIMANTAN,SANGATTA,8600187585,2W,G23,0.00,"4,321.04",0.00,0.00,44.91,"4,365.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094143,YW01,S86_Wty Inspect Engine,5/1/2020,NC73094143,5/1/2020,USD,NC-LOMKAMALUDDIN,5/1/2020,Closed,RJG02732,PT. CIPTA KRIDATAMA,0H34,SOUTHERN KALIMANTAN,BANJARMASIN,8600212589,2W,G23,0.00,"1,143.48",42.68,0.00,60.50,"1,246.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094142,YW01,"J361_RD4555_REWORKING DIFFERENTIAL,,",5/1/2020,,,USD,,,In Process,3F601075,PT. THIESS CONTRACTORS INDONESIA,0G38,NORTHERN KALIMANTAN,SANGATTA,8600189563,2X,G21,"3,075.91","1,759.20",0.00,0.00,116.46,"4,951.57","2,287.39","1,759.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094144,YW01,J218_32F Warranty Leak Coolant TR-3310,5/1/2020,L8U0799,5/1/2020,USD,C86SC 156444,5/1/2020,Closed,KDP00969,PT. MADHANI TALATAH NUSANTARA,0G05,NORTHERN KALIMANTAN,SAMARINDA,8600201142,2G,G19,0.00,0.00,0.00,0.00,70.93,70.93,0.00,0.00,0.00,0.00,0.00,27.63,0.00,0.00,0.00,0.00,34.21,34.21
0073094145,YW01,J218_32F Warr Secondary Steering Leak,5/1/2020,L8U0801,5/1/2020,USD,C86SC 156159,5/1/2020,Closed,KDP01072,PT. MADHANI TALATAH NUSANTARA,0G05,NORTHERN KALIMANTAN,SAMARINDA,8600200647,2W,G07,0.00,0.00,0.00,0.00,80.18,80.18,0.00,0.00,0.00,0.00,0.00,323.38,0.00,0.00,0.00,0.00,400.34,400.34
